kind	id	repo	module_dir	module_name	type	type_basis_or_reason	components	keep?
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 11			FresiaBoard: schematic holds only panel templates and a stereo jack - function unknown		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 4			Tuesday(MelodyR2) boards - development revisions of Tuesday (row from Production, p914)		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 5/FrontPanels			front panels		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/AncientFilter-euro			factory BOM of AncientFilter-euro - counted in the Ancient Filter row		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/CNCDriver			CNC driver board - tool, not a module		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/SWDIsolator			SWD isolator - programming tool		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Factory/USB_MiniPower			factory BOM of USB_MiniPower - covered by the USB MiniPower row		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Factory/TiNRS-Ardabil			factory BOM of Ardabil - covered by the Ardabil row		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 13/Factory/ASuitable Number Of Microphones			factory BOM - covered by the A Suitable Number Of Microphones row		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/Speaker			factory BOM - covered by the Speaker row		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/MiniKeyb			keyboard board (factory BOM) - not a module		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/SimpleKeyboard			keyboard board (factory BOM) - not a module		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/SimpleKeyboardTeensy			keyboard board (factory BOM) - not a module		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12/Factory/WestLaunch			keyboard (WestLaunch key matrix with stabilizers, WS2812) - not a module		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/JacThing			JacThing: single power board of an unnamed project - not a module		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box			PJB-Box: MainBoard + UtilityStrip of a box project - no eurorack format evident		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box/Factory			PJB-Box factory BOMs		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/PJB-Box/Factory/UtilityStrip1			PJB-Box factory BOM		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten			internship projects ('stageprojecten'): AllOfTheAbove boards (function undocumented, many dated revisions), guitar reverb and stomp boards - no eurorack module evident		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/ARboard			internship AR board		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/ARboard/CAMOutputs			CAM outputs		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/Factory/TiNRS&Navenant-Overstuurd			internship project factory BOM (TiNRS & Navenant 'Overstuurd' - overdrive pedal?)		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test			STM32 test boards		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/CAMOutputs			CAM outputs		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/Factory/stm32_03.2			STM32 test board BOM		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/StageProjecten/STM32test/stm32 oud			old STM32 test boards		
skip		ThisIsNotRocketScience/Eurorack-Modules	Development/Tools			SWD opto-isolator - tool		
skip		ThisIsNotRocketScience/Eurorack-Modules	Eurorack Set 9			jackdemo board - jack demo/test		
