status	maker	name	type	licence_state	licence_note	schematic_url	schematic_checked	repo_url	instructions_url	store_url
MISSING, vendor absent - schematic published	CCTV.fm	Filther	Analog voltage controlled low pass filter	Proprietary	No open licence published, treat as all rights reserved	https://static.wixstatic.com/media/32cd0c_ac3cc7a0e23841a5b900c3e90fdef7e8~mv2.png	build guide page cctv.fm/post/filther-build-guide shows 'Filther v1.3 Schematic' image (2026-09-26)		https://www.cctv.fm/filther	https://www.tindie.com/products/cctv/filther-diy-eurorack-kit/
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Clouds	Granular audio processor	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone			https://www.cctv.fm/product-page/immutable-clouds-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Ears	Contact-mic input / envelope follower	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone		https://www.cctv.fm/ears	https://www.cctv.fm/product-page/immutable-ears-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Kinks	Utility: rectifier, logic, S&H / noise	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone			https://www.cctv.fm/product-page/immutable-kinks-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Marbles	Random sampler / clock and CV generator	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone			https://www.cctv.fm/product-page/immutable-marbles-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Peaks	Dual envelope / LFO / drum generator	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone		https://www.cctv.fm/peaks	https://www.cctv.fm/product-page/immutable-peaks-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Plaits	Macro-oscillator voice	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone			https://www.cctv.fm/product-page/immutable-plaits-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Immutable Rings	Physical-modeling resonator	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26); design is a Mutable Instruments clone			https://www.cctv.fm/product-page/immutable-rings-diy-kit-or-preassembled
MISSING, vendor absent - no schematic published	CCTV.fm	Nerve Center	Four channel DC coupled fader mixer with mutes	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26)		https://www.cctv.fm/nervecenter	https://www.tindie.com/products/cctv/nerve-center-diy-eurorack-mixer/
MISSING, vendor absent - no schematic published	CCTV.fm	Ornament and Crime v4.1	Digital multi-app CV module (Teensy 4.1)	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26)			https://www.cctv.fm/product-page/ornament-and-crime-v4-1-diy-kit
MISSING, vendor absent - no schematic published	CCTV.fm	Out	Stereo output and headphone interface	Proprietary	No open licence published, treat as all rights reserved		build guide page has no schematic (2026-09-26)		https://www.cctv.fm/out	https://www.tindie.com/products/cctv/out-diy-eurorack-kit/
MISSING, vendor absent - no schematic published	CCTV.fm	Simple Gates	Passive dual vactrol low pass gate	Proprietary	No open licence published, treat as all rights reserved		build guide says schematic and board view are at the bottom of the page, but none are there (2026-09-26)		https://www.cctv.fm/simplegates	https://www.tindie.com/products/cctv/simple-gates-diy-eurorack-kit/
MISSING, vendor absent - schematic published	David Haillant	DM77	Analog drum synth voice	Proprietary	GPL-3.0 covers the firmware, no hardware licence	https://www.davidhaillant.com/wp/wp-content/uploads/dm77-0.4b-20190606.pdf	DM77 progress post (2019) links the 0.4b schematic PDF (2026-09-26)		http://www.davidhaillant.com/category/electronic-projects/dm77/	https://www.tindie.com/products/dhaillant/dm77-eurorack-drum-module/
NEW REPO, hardware - found while checking: dhaillant/simple-lfo, KiCad, CC-BY-SA 4.0; not in the star list; add?	David Haillant	Simple LFO	Triangle and square LFO	Proprietary	GPL-3.0 covers the firmware, no hardware licence	https://www.davidhaillant.com/wp/wp-content/uploads/lfo-1.5b-20210205.pdf	product page links schematic PDF (2026-09-26); GitHub dhaillant/simple-lfo exists, not yet checked	https://github.com/dhaillant/simple-lfo	https://www.davidhaillant.com/simple-lfo-1-5/	https://www.tindie.com/products/dhaillant/simple-lfo/
NEW REPO, hardware - found while checking: dhaillant/simple-vca, KiCad, LICENSE not read yet; not in the star list; add?	David Haillant	Simple VCA	Three input voltage controlled amplifier	Proprietary	GPL-3.0 covers the firmware, no hardware licence	https://www.davidhaillant.com/wp/wp-content/uploads/simple-vca-1.0.pdf	product page links schematic PDF (2026-09-26)	https://github.com/dhaillant/simple-vca	https://www.davidhaillant.com/simple-vca/	https://www.tindie.com/products/dhaillant/simple-vca/
NEW REPO, hardware - found while checking: dhaillant/Simple-VCO, KiCad, LICENSE not read yet; not in the star list; add?	David Haillant	Simple VCO	Analog voltage controlled oscillator	Proprietary	GPL-3.0 covers the firmware, no hardware licence	https://www.davidhaillant.com/wp/wp-content/uploads/vco-1.1-schematic-2026-05-04.pdf	Simple VCO 1.1 post links schematic PDF (2026-09-26); GitHub dhaillant/Simple-VCO exists, not yet checked	https://github.com/dhaillant/Simple-VCO	http://www.davidhaillant.com/category/electronic-projects/simple/simple-vco/	https://www.tindie.com/products/dhaillant/simple-vco-beginner-friendly-diy-eurorack-vco/
MISSING, vendor absent - schematic published	Erica Synths	EDU BBD	BBD delay / flanger (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/788/file_id/563/#page=61	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/erica-edu-bbd/	https://www.thonk.co.uk/shop/erica-edu-bbd/
MISSING, vendor absent - schematic published	Erica Synths	EDU Compressor	Compressor (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/790/file_id/484/#page=57	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/erica-synths-compressor/	https://www.thonk.co.uk/shop/erica-synths-compressor/
MISSING, vendor absent - schematic published	Erica Synths	EDU EG	Envelope (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/794/file_id/439/#page=42	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/mki-erica-synths-edu-eg-kit/	https://www.thonk.co.uk/shop/mki-erica-synths-edu-eg-kit/
MISSING, vendor absent - schematic published	Erica Synths	EDU Kick Drum	Kick drum (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/800/file_id/491/#page=50	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/mki-erica-edu-kickdrum/	https://www.thonk.co.uk/shop/mki-erica-edu-kickdrum/
MISSING, vendor absent - schematic published	Erica Synths	EDU Mixer	Mixer (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/809/file_id/453/#page=37	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/erica-edu-mixer/	https://www.thonk.co.uk/shop/erica-edu-mixer/
MISSING, vendor absent - no schematic published	Erica Synths	EDU Noise / S&H	Noise + sample & hold (educational)	Proprietary	No licence published		user manual on the product page is 1 page with no schematic (2026-09-26)		https://www.thonk.co.uk/shop/erica-edu-sample-and-hold/	https://www.thonk.co.uk/shop/erica-edu-sample-and-hold/
MISSING, vendor absent - schematic published	Erica Synths	EDU Output	Output (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/815/file_id/466/#page=3	vector-drawing page 3 of the user manual, probably the schematic; not looked at (2026-09-26)		https://www.thonk.co.uk/shop/mki-erica-synths-edu-output/	https://www.thonk.co.uk/shop/mki-erica-synths-edu-output/
MISSING, vendor absent - schematic published	Erica Synths	EDU Sequencer	Sequencer (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/817/file_id/452/#page=52	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/mki-erica-synths-sequencer/	https://www.thonk.co.uk/shop/mki-erica-synths-sequencer/
MISSING, vendor absent - schematic published	Erica Synths	EDU VCA	Dual VCA (linear / exponential)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/821/file_id/433/#page=47	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/mki-erica-synths-edu-vca-full-diy-kit/	https://www.thonk.co.uk/shop/mki-erica-synths-edu-vca-full-diy-kit/
MISSING, vendor absent - schematic published	Erica Synths	EDU VCF	Filter (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/823/file_id/450/#page=61	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/mki-erica-synths-edu-vcf/	https://www.thonk.co.uk/shop/mki-erica-synths-edu-vcf/
MISSING, vendor absent - schematic published	Erica Synths	EDU VCO	Analog VCO (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/825/file_id/431/#page=49	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/erica-edu-vco/	https://www.thonk.co.uk/shop/erica-edu-vco/
MISSING, vendor absent - schematic published	Erica Synths	EDU Wavefolder	Wavefolder (educational)	Proprietary	No licence published	https://www.ericasynths.lv/service/file/download/product_id/827/file_id/469/#page=46	schematic page right after the Module Assembly Appendix of the user manual (2026-09-26; seen on VCA/VCO/VCF/Wavefolder, same layout on the rest)		https://www.thonk.co.uk/shop/mki-erica-synths-edu-wavefolder/	https://www.thonk.co.uk/shop/mki-erica-synths-edu-wavefolder/
MISSING, vendor absent - not checked	Frequency Central	CEMosc	CEM3340 VCO	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/cemosc/	https://frequencycentral.co.uk/product/cemosc/
MISSING, vendor absent - not checked	Frequency Central	Cosmic Background	Analogue drum voice	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/cosmic-background/	https://frequencycentral.co.uk/product/cosmic-background/
MISSING, vendor absent - not checked	Frequency Central	Dual XVCA	Roland 100M dual VCA	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/dual-xvca/	https://frequencycentral.co.uk/product/dual-xvca/
MISSING, vendor absent - not checked	Frequency Central	Logic Bomb	Dual CV-addressable Boolean logic	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/logic-bomb/	https://frequencycentral.co.uk/product/logic-bomb/
MISSING, vendor absent - not checked	Frequency Central	Raging Bull 3.0	Moog Taurus-based VCF + VCA	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/raging-bull-3/	https://frequencycentral.co.uk/product/raging-bull-3/
MISSING, vendor absent - not checked	Frequency Central	Stasis Leak	DSP chorus / delay / reverb	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/stasis-leak/	https://frequencycentral.co.uk/product/stasis-leak/
MISSING, vendor absent - not checked	Frequency Central	Strips	4-channel VCA mixer	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/strips-4-channel-vca-mixer/	https://frequencycentral.co.uk/product/strips-4-channel-vca-mixer/
MISSING, vendor absent - not checked	Frequency Central	System X Envelope	Roland 100M ADSR	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/system-x-envelope/	https://frequencycentral.co.uk/product/system-x-envelope/
MISSING, vendor absent - not checked	Frequency Central	Tempograf	Tap-tempo clock	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/tempograf/	https://frequencycentral.co.uk/product/tempograf/
MISSING, vendor absent - not checked	Frequency Central	Wave Runner	Digital multi-wave LFO (Electric Druid TAPLFO)	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/wave-runner/	https://frequencycentral.co.uk/product/wave-runner/
MISSING, vendor absent - not checked	Frequency Central	XVCF TWO	Roland 100M state-variable VCF	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/xvcf-two/	https://frequencycentral.co.uk/product/xvcf-two/
MISSING, vendor absent - not checked	Frequency Central	XVCO TWO	Roland 100M VCO (System X)	Proprietary	No licence published		not checked: frequencycentral.co.uk shows a Cloudflare bot check (2026-09-26)		https://frequencycentral.co.uk/product/xvco-two/	https://frequencycentral.co.uk/product/xvco-two/
MISSING, vendor absent - no schematic published	Ginko Synthese	Battle	CV performance mixer	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/8dc9a960b25b9e7b11a1749dce5573c3	https://www.ginkosynthese.com/product/2463866/battle-assembled
MISSING, vendor absent - no schematic published	Ginko Synthese	EZSQ	8-step sequencer	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/3a8649adc07d4f26f0d512a83ef076fd	https://www.ginkosynthese.com/product/586916/ezsq-assembled
MISSING, vendor absent - no schematic published	Ginko Synthese	Grains	Arduino granular / multi-mode osc	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/ef8663e93075f150ecfecd7a95fd41ca	https://www.ginkosynthese.com/product/586901/grains-diy-kit-black
MISSING, vendor absent - no schematic published	Ginko Synthese	Little Synth	Pocket CV/gate voice	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/product/1114452/little-synth-diy-kit	https://www.ginkosynthese.com/product/1114452/little-synth-diy-kit
MISSING, vendor absent - no schematic published	Ginko Synthese	Sampleslicer mkII	Realtime sample-slice sequencer	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/5fe29649a1e58a1b0d7b83beb6dd78b5	https://www.ginkosynthese.com/product/555340/sampleslicer-mkii-assembled
MISSING, vendor absent - no schematic published	Ginko Synthese	Seeds	8-bit oscillator / voice	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/141f5e878878fc4cbc1dbf9324af8bda	https://www.ginkosynthese.com/product/1070475/seeds-diy-kit
MISSING, vendor absent - no schematic published	Ginko Synthese	TTLFO v2	Tap-tempo LFO	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/71e89ab07dd96e555247357e59d72473	https://www.ginkosynthese.com/product/555756/ttlfov2-assembled
MISSING, vendor absent - no schematic published	Ginko Synthese	Voltage Runner	Complex sequencer	Proprietary	No licence published		no schematic in the linked documentation PDFs (9 PDFs rendered, 2026-09-26); the Magma file the sheet calls a schematic is a component placement drawing		https://www.ginkosynthese.com/_downloads/3afae1059b8f1dfd0bf02a46cd493cb4	https://www.ginkosynthese.com/product/823745/voltage-runner-assembled
MISSING, vendor absent - schematic published	Hack Modular	1201 Bandpass Filter	Voltage controlled high and low pass filter pair	Proprietary	No open licence published, treat as all rights reserved	https://drive.google.com/drive/folders/1-7rXBOYkWIjv_i47lSmHwFAvrvJcoCgi	Drive folder holds '1201 BPF Schematic.pdf' (2026-09-26)		https://drive.google.com/drive/folders/1-7rXBOYkWIjv_i47lSmHwFAvrvJcoCgi	https://www.tindie.com/products/hackmodular/1201-bandpass-filter-eurorack-synthesizer-module/
MISSING, vendor absent - schematic published	Hack Modular	Quad 2-Input Logic Gates	Four channel logic gate utility	Proprietary	No open licence published, treat as all rights reserved	https://drive.google.com/drive/folders/1SzooZhFYZvZfBG2Upi1eZgHTSwQ4l0SQ	Drive folder holds 'Logic Gates Schematic.pdf' (2026-09-26)		https://drive.google.com/drive/folders/1SzooZhFYZvZfBG2Upi1eZgHTSwQ4l0SQ	https://www.tindie.com/products/hackmodular/quad-2-input-logic-gates-partial-diy-kit/
MISSING, vendor absent - no schematic published	HexInverter Electronique	Jupiter Storm	Cosmic noise and square-wave source	Proprietary	No open licence published, treat as all rights reserved		assembly manual has no schematic section (text check of the PDF, 2026-09-26)		http://data.hexinverter.net/Jupiter%20Storm_ASSEMBLY%20MANUAL_v1.pdf	https://modularaddict.com/jupiter-storm-pcb-panel-set-hexinverter-electronique
MISSING, vendor absent - not checked	HexInverter Electronique	Mutant Snare	Analog snare drum voice	Proprietary	No open licence published, treat as all rights reserved		not checked: build guide is a Google Drive file (2026-09-26)		https://drive.google.com/file/d/1UVI75z7o-4bZVrCLd33ShFFP5Q0C0KHc/view?usp=sharing	https://modularaddict.com/mutant-snare-panel-pcb-hexinverter-electronique
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	2P4T Analogue Switch	2-pole 4-throw binary-addressed analog switch	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-2P4T-BOM+schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/2P4T/11
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	3P2T Analogue Switch	3-pole 2-throw analog switch	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-3P2T-BOM-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/3P2T/12
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	4013 Dual Flip-Flop	Dual D-type flip-flop / clock divider	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-4013-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/4013/3
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	4029 Presettable Counter	CMOS presettable up/down counter	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-4029-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/4029/6
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	4047VCO	Gateable triangle-core VCO	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-4047VCO-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/4047VCO/9
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	ADC Bar Graph, Multiplexer, Binary Encoder	Analog-to-gate converter with bar graph, mux and encoder	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-ADC-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/adc/5
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	AND/OR	Boolean logic (AND/OR/NAND/NOR)	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-ANDOR-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/and-or/4
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	DAC Transposer/Sequencer	Analog 1V/oct DAC transposer and precision adder	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-DAC-schem1.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/dac/1
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Dual VCA/Four Quadrant Multiplier	Dual VCA / four-quadrant multiplier	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-VCA4QM-schem1.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/VCA4QM/14
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Edge Detector 12HP	8-channel edge detector with adjustable pulse length	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-edgedetect12hp-BOMschem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/edge-detector-12hp/19
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Edge Detector 8HP	8-channel gate-to-trigger edge detector	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-edgedetect8hp-BOMschem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/edge-detector-8hp/20
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Envelope Generator	Dual AD/AR envelope generator	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-envgen-schem1.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/envelope-generator/17
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Melakarta Transposer/Sequencer	Analog raga transposer / sequencer	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-Melakarta-BOM-schem_Mzk0ND.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/melakarta-transposer-sequencer/15
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Noise V2	Dual noise source with VCAs	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-NOISE-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/NOISE/16
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	Summer	Dual 4-input summing mixer	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-SUMMER-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/summer/7
MISSING, vendor absent - schematic published (BOM/schematic PDFs on isaacbeers.square.site)	Isaac Beers	XOR	Quad exclusive-OR logic	Proprietary	No licence published	https://isaacbeers.square.site/uploads/b/a029a0b0-d7a4-11ed-a402-c9f57f4c154c/BEERS-XOR-schem.pdf	product page links it as schematic (2026-09-26)			https://isaacbeers.square.site/product/XOR/8
MISSING, vendor absent - sheet links no schematic	Meng Qi	Grassi	Touch-controlled synth voice	Proprietary	No open licence published, treat as all rights reserved					https://modularaddict.com/grassi-touch-controlled-synth-voice-pcb-meng-qi
MISSING, vendor absent - sheet links no schematic	Molten Modular	Molten Bypass	Bypass / insert	Proprietary	No open licence published, treat as all rights reserved				https://befaco.org/docs/Bypass/BYPASS_V1_Assembly_Manual.pdf	https://www.thonk.co.uk/shop/molten-bypass/
MISSING, vendor absent - sheet links no schematic	Molten Modular	Motion MTR 1U	Meter (Intellijel 1U)	Proprietary	No open licence published, treat as all rights reserved				https://befaco.org/docs/Motion_MTR/1U_Motion_MTR_V1_Assembly_Manual.pdf	https://www.thonk.co.uk/shop/molten-motion-meter-1u/
MISSING, vendor absent - no schematic published	Neutral Labs	Elmyra 2	Digital and analog hybrid four-voice drone synth and microtonal platform	Proprietary	No hardware licence published		no schematic: downloads page has manuals, HW v3 build guide, firmware; build guide rendered, no schematic page (2026-09-26)			https://neutral-labs.com/elmyra2
MISSING, vendor absent - no schematic published	Neutral Labs	Luna	Touchpad logic and gate source, 42 HP Eurorack or desktop	Proprietary	No hardware licence published		no schematic: downloads page has manual, build guide, firmware; build guide rendered, no schematic page (2026-09-26)		https://neutral-labs.com/luna	https://neutral-labs.com/luna
MISSING, vendor absent - schematic published	Neutral Labs	Meg	Waveshaper that adds pulse-width-style shaping to any wave	Proprietary	No hardware licence published	https://neutral-labs.com/sb/meg-downloads/Meg-v1.1-schematic.jpg	product page links v1.1 schematic (2026-09-26)		https://neutral-labs.com/sb/meg-downloads/Meg-v1.1-build-guide.pdf	https://neutral-labs.com/meg
MISSING, vendor absent - schematic published	Neutral Labs	Nermal	Modulated destructive distortion	Proprietary	No hardware licence published	https://neutral-labs.com/sb/nermal-downloads/nermal-v1.1-schematic.png	product page links v1.1 schematic (2026-09-26)		https://neutral-labs.com/sb/nermal-downloads/Nermal-v1.1-build-guide.pdf	https://neutral-labs.com/nermal
MISSING, vendor absent - schematic published	Neutral Labs	Nijel	User-customizable diode distortion	Proprietary	No hardware licence published	https://neutral-labs.com/sb/nijel-downloads/Nijel-v1.1-schematic.jpg	product page links v1.1 schematic, plus Nuts board schematic (2026-09-26)		https://neutral-labs.com/sb/nijel-downloads/Nijel-v1.1-build-guide.pdf	https://neutral-labs.com/nijel
MISSING, vendor absent - schematic published	Neutral Labs	Scrat Configurable VCF	Configurable multimode VCF	Proprietary	No hardware licence published	https://neutral-labs.com/sb/scrat-downloads/scrat-v1.1-schematic.jpg	product page links v1.1 schematic, plus Nuts board schematic (2026-09-26)		https://neutral-labs.com/sb/scrat-downloads/Scrat-v1.1-build-guide.pdf	https://modularaddict.com/scrat-configurable-vcf-neutral-labs
MISSING, vendor absent - no schematic published	Neutral Labs	Scrooge	Sequenced malfunction generator, 42 HP	Proprietary	No hardware licence published		no schematic: downloads page has manuals, build guides, firmware; v3 build guide rendered, no schematic page (2026-09-26)		https://neutral-labs.com/scrooge	https://neutral-labs.com/scrooge
