type	rows	tags	status	note
switch (voltage-controlled, A-150 style)	1	utility	draft	
switch matrix (analog)	1	utility	draft	
synth voice (3 voices)	1	voice	draft	
synth voice (4-voice MIDI phase-modulation)	1	midi, voice	draft	
synth voice (8-voice MIDI, Teensy)	1	midi, platform, voice	draft	
synth voice (acid bassline)	1	voice	draft	
synth voice (AMY engine: Juno-6 / DX7 patches, MIDI + CV, ESP32-S3)	1	midi, voice	draft	
synth voice (analog, monophonic)	1	voice	draft	
synth voice (VCO / VCF / EG)	1	oscillator, filter, envelope, voice	draft	
synth voice / drums (Kastle port)	1	voice	draft	added 2026-09-26 after merge of 0e616ce
tap tempo / clock	1	clock	draft	
TB-303 voice interface (x0x-heart)	1	voice	draft	
Teletype expander (I2C to MIDI)	1	midi, expander	draft	
Teletype expander (inputs)	1	expander	draft	
Teletype expander (outputs)	1	expander	draft	
tidal modulator	2	envelope, lfo	draft	
toms (TR-808 style)	1	drum	draft	
toms (TR-909, hi / mid / low)	1	drum	draft	
touch controller (CV)	1	controller	draft	
touch CV / gate source (capacitive buttons, Trinket M0)	1	controller	draft	
trigger / gate generator (6-ch)	1	utility	draft	
trigger / gate sequencer (six-voice)	1	sequencer	draft	
trigger converter (dual; envelope / LFO / drums)	1	envelope, lfo, utility	draft	
trigger modulator / clock multiplier / repeater	1	clock	draft	
trigger sequencer	1	sequencer	draft	
trigger sequencer (6-ch)	1	sequencer	draft	
trigger sequencer (8-ch, 16-step)	1	sequencer	draft	
trigger to gate	1	logic	draft	
trigger to MIDI (19-ch)	1	midi	draft	
trigger to MIDI clock	1	clock, midi	draft	
tube drive (vacuum tube, feedback control)	1	effect	draft	
tuner	1	tool	draft	
USB MIDI host (Teensy 3.6)	1	midi, platform	draft	
USB-MIDI to CV	1	midi	draft	
utility (attenuverter / mult / rectifier)	1	waveshaper, utility	draft	
utility (buffered stereo mult, adders, sum/difference, passive mult)	1	utility	draft	
utility (button, glide, manual CV, sample & hold)	1	random, utility	draft	
utility (case-to-case link, 11 signals)	1	utility, other	draft	
utility (current meter + bus bar, 11HP)	1	utility, tool	draft	
utility (dual adder / attenuverter / offset / VCA)	1	vca, utility	draft	
utility (Kinks + Links)	1	utility	draft	
utility (V / mA meter)	1	utility, tool	draft	
VC polarizer (quad)	1	utility	draft	
VCA	8	vca	draft	
VCA (1-transistor)	1	vca	draft	
VCA (4 x 4 matrix, 16 VCAs)	1	vca	draft	
VCA (8-channel)	1	vca	draft	
VCA (dual linear, SSI2164)	1	vca	draft	
VCA (dual)	8	vca	draft	
VCA (dual) / crossfader / four-quadrant multiplier	1	vca, waveshaper, mixer	draft	
VCA (dual) / mixer	1	vca, mixer	draft	
VCA (dual, bipolar) / ring modulator	1	vca, waveshaper	draft	
VCA (dual, exponential)	1	vca	draft	
VCA (dual, lin / log)	1	vca	draft	
VCA (dual, lin-exp curve)	1	vca	draft	
VCA (dual, LM13700)	3	vca	draft	
VCA (dual, vactrol) / AR envelope	1	vca, envelope	draft	
VCA (dual; Veils)	1	vca	draft	
VCA (multi)	1	vca	draft	
VCA (OTA)	1	vca	draft	
VCA (quad)	2	vca	draft	
VCA (quad) with offsets / subtraction	1	vca	draft	
VCA (quad, CV inverters, mixed outputs)	1	vca	draft	
VCA (quad, CV only)	1	vca	draft	
VCA (quad, exponential, AS2164)	1	vca	draft	
VCA (quad, SSM2164)	1	vca	draft	
VCA (quad, with mix)	1	vca	draft	
VCA (stereo)	1	vca	draft	
VCA (triple)	1	vca	draft	
VCA (tube)	1	vca	draft	
VCA (vactrol)	1	vca	draft	
VCA / distortion (earth-conditioned)	1	vca, effect	draft	
VCA / mixer (quad)	1	vca, mixer	draft	
VCA / mixer (quad; Veils)	1	vca, mixer	draft	
VCA / panner (stereo)	1	vca, mixer	draft	
VCA / ring modulator	1	vca, waveshaper	draft	
VCF	19	filter	draft	
VCF (12dB state-variable)	1	filter	draft	
VCF (2-pole BP / LP, 4-pole LP)	1	filter	draft	
VCF (3rd order)	1	filter	draft	
VCF (ARP 2600 style, low-pass)	1	filter	draft	
VCF (AS2164)	1	filter	draft	
VCF (AS3320 band-pass)	2	filter	draft	
VCF (AS3320 high-pass)	1	filter	draft	
VCF (AS3320 low-pass)	1	filter	draft	
VCF (AS3320)	1	filter	draft	
VCF (diode ladder)	3	filter	draft	
VCF (diode)	1	filter	draft	
VCF (dual multimode)	1	filter	draft	
VCF (dual state-variable)	1	filter	draft	
VCF (dual)	1	filter	draft	
VCF (dual, MAX261 switched-capacitor, LP/BP/HP/notch/AP)	1	filter	draft	
VCF (dual, MS-20 style)	1	filter	draft	
VCF (Korg MS-20 style)	1	filter	draft	
VCF (ladder)	2	filter	draft	
VCF (low-pass)	1	filter	draft	
VCF (Moog ladder)	1	filter	draft	
VCF (MS-20 style)	2	filter	draft	
VCF (MS-20)	1	filter	draft	
VCF (multimode)	2	filter	draft	
VCF (multimode, diode)	1	filter	draft	
VCF (multimode, Jupiter-6 style)	1	filter	draft	
VCF (Polivoks style)	1	filter	draft	
VCF (Polivoks)	1	filter	draft	
VCF (Sallen-Key, optocoupler)	1	filter	draft	
VCF (SSI2144 low-pass)	1	filter	draft	
VCF (state-variable)	1	filter	draft	
VCF (state-variable, LP/BP/HP)	1	filter	draft	
VCF (state-variable, pingable)	1	filter	draft	
VCF (state-variable, VC)	1	filter	draft	
VCF (Steiner-Parker)	1	filter	draft	
VCF (stereo multimode)	1	filter	draft	
VCF (switched-capacitor)	1	filter	draft	
VCF (TB-303 diode ladder)	1	filter	draft	
VCF (transistor ladder)	1	filter	draft	
VCF (vactrol)	1	filter	draft	
VCF (vowel / formant, AS3320)	1	filter	draft	
VCF (Wasp)	1	filter	draft	
VCF (Wasp-style, CD4069 + LM13700)	1	filter	draft	
VCO	19	oscillator	draft	
VCO (3340)	1	oscillator	draft	added 2026-09-26 after merge of 0e616ce
VCO (Arduino; 2-op FM / additive / chord firmwares)	1	oscillator	draft	
VCO (AS3340)	5	oscillator	draft	
VCO (avalanche)	1	oscillator	draft	
VCO (CEM3340)	2	oscillator	draft	
VCO (CMOS, CD4046)	1	oscillator	draft	
VCO (complex)	1	oscillator	draft	
VCO (core board)	1	oscillator	draft	
VCO (digital, Teensy)	1	oscillator, platform	draft	
VCO (dual, Juno-inspired)	1	oscillator	draft	
VCO (Jupiter-8 style, with sub-osc)	1	oscillator	draft	
VCO (PLL harmonic, 8 ramp outputs)	1	oscillator	draft	
VCO (small)	1	oscillator	draft	
VCO (tri-core)	1	oscillator	draft	
VCO (triangle-core)	1	oscillator	draft	
VCO / comparator / S&H	1	oscillator, logic, random	draft	
VCO / LFO	1	oscillator, lfo	draft	
voice (speech / sound, digital)	2	voice	draft	
voice chip replacement (Juno-106 80017A)	1	voice	draft	
voltage doubler (4-ch)	1	utility	draft	
voltage source (4 manual CVs)	1	utility, controller	draft	
voltage-controlled switch	1	utility	draft	
voltage-controlled switch / T&H / S&H	1	random, utility	draft	
VU meter / envelope follower	2	utility, tool	draft	
wave distortion / shaper	1	effect, waveshaper	draft	
wave folder	4	waveshaper	draft	
wave folder (Buchla 208 timbre section)	1	waveshaper	draft	
wave folder (Octaviant)	1	waveshaper	draft	
wave shaper (triple, MOSFET)	1	waveshaper	draft	
wavefolder	2	waveshaper	draft	
wavefolder (Lockhart)	1	waveshaper	draft	
waveshaper / filter	1	filter, waveshaper	draft	
wavetable oscillator (dual channel)	1	oscillator	draft	
wavetable oscillator (spherical)	1	oscillator	draft	
wavetable oscillator (VCDO1)	1	oscillator	draft	
wavetable oscillator (with sub-osc)	1	oscillator	draft	
